epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.599,2.31377,5.73169,1.02189,0.00114,0.00344,0.00077,0.00061,1.56077,6.05328,1.19783,4.6e-06,4.6e-06,4.6e-06
2,371.408,2.11506,5.75047,1.0011,0.00232,0.00606,0.00133,0.00089,1.5005,6.05551,1.20754,8.96322e-06,8.96322e-06,8.96322e-06
3,559.222,2.18145,5.73576,1.00567,0.00468,0.00537,0.00249,0.0017,1.49276,6.08266,1.21897,1.28483e-05,1.28483e-05,1.28483e-05
4,743.879,2.08233,5.72631,1.00609,0.0048,0.00336,0.0025,0.00162,1.49025,6.10267,1.22107,1.62551e-05,1.62551e-05,1.62551e-05
5,916.17,1.90924,5.65477,0.99848,0.00125,0.00221,0.0007,0.00055,1.49718,6.11202,1.21855,1.8446e-05,1.8446e-05,1.8446e-05
6,1105.04,2.15202,5.70231,0.98296,0.00017,0.00165,0.00012,8e-05,1.51383,6.10713,1.21279,1.73075e-05,1.73075e-05,1.73075e-05
7,1286.97,2.01967,5.70159,0.98142,0.00021,0.00165,0.00013,9e-05,1.51885,6.10981,1.21287,1.6169e-05,1.6169e-05,1.6169e-05
8,1464.44,2.00814,5.62704,0.98641,0.00024,0.00165,0.00015,0.0001,1.55227,6.10668,1.20741,1.50305e-05,1.50305e-05,1.50305e-05
9,1647.3,2.0658,5.64994,0.97278,0.00029,0.00143,0.00018,0.00012,1.56844,6.11986,1.21242,1.3892e-05,1.3892e-05,1.3892e-05
10,1831.54,2.1114,5.59335,0.98761,0.00033,0.0008,0.00021,0.00016,1.60075,6.11334,1.21005,1.27535e-05,1.27535e-05,1.27535e-05
11,2004.24,2.36688,5.81821,0.97952,0.00055,0.00143,0.00033,0.00024,1.67987,6.11482,1.21941,1.1615e-05,1.1615e-05,1.1615e-05
12,2176.73,2.26639,5.84377,0.98238,0.00073,0.00143,0.0004,0.00029,1.68875,6.13445,1.22449,1.04765e-05,1.04765e-05,1.04765e-05
13,2340.27,1.9466,5.83452,0.97785,0.00053,0.00103,0.00028,0.00022,1.73756,6.13962,1.2325,9.338e-06,9.338e-06,9.338e-06
14,2503.88,2.02079,5.76917,0.97851,0.00044,0.00103,0.00024,0.00018,1.70785,6.1589,1.23883,8.1995e-06,8.1995e-06,8.1995e-06
15,2671.72,2.00636,5.80044,0.97232,0.00086,0.00143,0.00046,0.00027,1.70341,6.1661,1.24115,7.061e-06,7.061e-06,7.061e-06
16,2847.71,2.4604,5.78964,0.93841,0.00047,0.00103,0.00025,0.00019,1.68986,6.16992,1.24118,5.9225e-06,5.9225e-06,5.9225e-06
17,3019.12,2.06761,5.78766,0.94599,0.00075,0.00143,0.00043,0.00021,1.71554,6.17067,1.24667,4.784e-06,4.784e-06,4.784e-06
18,3182.27,2.0133,5.77271,0.97829,0.00109,0.00183,0.00061,0.00032,1.72475,6.16813,1.24903,3.6455e-06,3.6455e-06,3.6455e-06
19,3348.46,2.11672,5.76018,0.96803,0.00101,0.00183,0.00056,0.00041,1.75069,6.15862,1.24689,2.507e-06,2.507e-06,2.507e-06
20,3511.74,1.98367,5.75702,0.96439,0.00104,0.00183,0.0006,0.00035,1.73451,6.16977,1.25011,1.3685e-06,1.3685e-06,1.3685e-06
