epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.061,0.6607,5.40216,1.28271,0.00111,0.00587,0.00063,0.00035,1.46505,5.6981,1.12964,4.14e-06,4.14e-06,4.14e-06
2,229.908,0.70006,5.42673,1.2604,0.0001,0.00191,6e-05,2e-05,1.61669,5.81804,1.18019,8.42575e-06,8.42575e-06,8.42575e-06
3,343.814,0.66174,5.40686,1.23713,0.0001,0.00191,6e-05,2e-05,1.76289,5.96727,1.25778,1.2625e-05,1.2625e-05,1.2625e-05
4,446.983,0.54655,5.35528,1.20999,0.0001,0.00191,6e-05,2e-05,1.86352,6.0653,1.32407,1.67377e-05,1.67377e-05,1.67377e-05
5,561.687,0.80297,5.45265,1.17146,0.0001,0.00191,6e-05,2e-05,1.85173,6.05847,1.31889,2.07638e-05,2.07638e-05,2.07638e-05
6,663.842,0.50311,5.36299,1.18685,0.0001,0.00191,6e-05,2e-05,1.89814,6.11068,1.34551,2.18615e-05,2.18615e-05,2.18615e-05
7,768.159,0.5278,5.3476,1.17212,0.0001,0.00191,6e-05,2e-05,1.95834,6.14951,1.37793,2.16338e-05,2.16338e-05,2.16338e-05
8,877.958,0.65027,5.38337,1.16644,0.0001,0.00191,6e-05,2e-05,1.93533,6.14097,1.36421,2.14061e-05,2.14061e-05,2.14061e-05
9,982.658,0.52557,5.34439,1.1748,0.0001,0.00191,6e-05,2e-05,1.98988,6.17586,1.39531,2.11784e-05,2.11784e-05,2.11784e-05
10,1092.24,0.66892,5.37389,1.1777,0.0001,0.00191,6e-05,2e-05,1.98881,6.17182,1.37765,2.09507e-05,2.09507e-05,2.09507e-05
11,1193.67,0.47757,5.28964,1.14449,0.0001,0.00191,6e-05,2e-05,2.04515,6.20206,1.4025,2.0723e-05,2.0723e-05,2.0723e-05
12,1300.22,0.58076,5.34888,1.15924,0.0001,0.00191,6e-05,2e-05,2.03485,6.19964,1.40222,2.04953e-05,2.04953e-05,2.04953e-05
13,1404.04,0.53334,5.33472,1.16015,0.0001,0.00191,6e-05,2e-05,2.02196,6.19501,1.40293,2.02676e-05,2.02676e-05,2.02676e-05
14,1508.73,0.52325,5.32132,1.13942,0.0001,0.00191,6e-05,2e-05,1.99645,6.17857,1.3795,2.00399e-05,2.00399e-05,2.00399e-05
15,1611.09,0.49312,5.27269,1.16626,0.0001,0.00191,6e-05,2e-05,2.00797,6.1835,1.402,1.98122e-05,1.98122e-05,1.98122e-05
16,1716.63,0.55092,5.30784,1.15158,0.0001,0.00191,6e-05,2e-05,1.9825,6.18103,1.38863,1.95845e-05,1.95845e-05,1.95845e-05
17,1823.09,0.55449,5.29783,1.1317,0.0001,0.00191,6e-05,2e-05,1.9921,6.17561,1.37693,1.93568e-05,1.93568e-05,1.93568e-05
18,1927.42,0.50715,5.28407,1.13647,0.0001,0.00191,6e-05,2e-05,1.98263,6.1751,1.38102,1.91291e-05,1.91291e-05,1.91291e-05
19,2032.11,0.57502,5.30943,1.14642,0.0001,0.00191,6e-05,2e-05,1.99433,6.17321,1.37826,1.89014e-05,1.89014e-05,1.89014e-05
20,2136.02,0.47814,5.25785,1.12955,0.0001,0.00191,6e-05,2e-05,2.03827,6.18998,1.40393,1.86737e-05,1.86737e-05,1.86737e-05
21,2237.78,0.46827,5.2322,1.14042,0.0001,0.00191,6e-05,2e-05,2.05533,6.19968,1.41573,1.8446e-05,1.8446e-05,1.8446e-05
22,2341.6,0.51761,5.26716,1.13428,0.0001,0.00191,6e-05,2e-05,2.06168,6.19369,1.39933,1.82183e-05,1.82183e-05,1.82183e-05
23,2452.84,0.59966,5.26802,1.12283,0.0001,0.00191,6e-05,2e-05,2.05344,6.18736,1.38395,1.79906e-05,1.79906e-05,1.79906e-05
24,2562.78,0.66831,5.31191,1.11003,0.0001,0.00191,6e-05,2e-05,2.01916,6.16588,1.33721,1.77629e-05,1.77629e-05,1.77629e-05
25,2666.65,0.52241,5.26374,1.13518,0.0001,0.00191,6e-05,2e-05,2.06273,6.17903,1.34634,1.75352e-05,1.75352e-05,1.75352e-05
26,2771.1,0.60755,5.28193,1.11033,0.0001,0.00191,6e-05,2e-05,2.11792,6.21938,1.37282,1.73075e-05,1.73075e-05,1.73075e-05
27,2872.02,0.4605,5.2248,1.14829,0.0001,0.00191,6e-05,2e-05,2.17601,6.23788,1.38564,1.70798e-05,1.70798e-05,1.70798e-05
28,2976.94,0.51023,5.22551,1.124,0.0001,0.00191,6e-05,2e-05,2.28996,6.27607,1.42175,1.68521e-05,1.68521e-05,1.68521e-05
29,3081.68,0.50382,5.23642,1.12418,0.0001,0.00191,6e-05,2e-05,2.31796,6.2823,1.42479,1.66244e-05,1.66244e-05,1.66244e-05
30,3296.49,0.47695,5.19354,1.11424,0.0001,0.00191,6e-05,2e-05,2.33609,6.3099,1.43184,1.63967e-05,1.63967e-05,1.63967e-05
31,3400.75,0.51702,5.19648,1.1267,0.0001,0.00191,6e-05,2e-05,2.29349,6.29002,1.41707,1.6169e-05,1.6169e-05,1.6169e-05
32,3504.39,0.51424,5.19654,1.13171,0.0001,0.00191,6e-05,2e-05,2.26336,6.26552,1.39906,1.59413e-05,1.59413e-05,1.59413e-05
33,3605.09,0.42448,5.1518,1.11724,0.0001,0.00191,6e-05,2e-05,2.271,6.26997,1.40357,1.57136e-05,1.57136e-05,1.57136e-05
34,3712.41,0.57651,5.20988,1.09892,0.0001,0.00191,6e-05,2e-05,2.20635,6.2346,1.37279,1.54859e-05,1.54859e-05,1.54859e-05
35,3818.41,0.57678,5.20319,1.12179,0.0001,0.00191,6e-05,2e-05,2.21156,6.24989,1.36646,1.52582e-05,1.52582e-05,1.52582e-05
36,3922.56,0.48651,5.18644,1.10522,0.0001,0.00191,6e-05,2e-05,2.26254,6.27733,1.3785,1.50305e-05,1.50305e-05,1.50305e-05
37,4025.02,0.51552,5.1853,1.13618,0.0001,0.00191,6e-05,2e-05,2.31068,6.31089,1.39642,1.48028e-05,1.48028e-05,1.48028e-05
38,4218.35,0.46982,5.15512,1.11117,0.0001,0.00191,6e-05,2e-05,2.36753,6.34603,1.4111,1.45751e-05,1.45751e-05,1.45751e-05
39,4323.33,0.52345,5.21116,1.16387,0.0001,0.00191,6e-05,2e-05,2.35567,6.35068,1.39836,1.43474e-05,1.43474e-05,1.43474e-05
40,4433.38,0.64234,5.22308,1.1077,0.00281,0.0008,0.0015,0.0012,2.24298,6.26513,1.35433,1.41197e-05,1.41197e-05,1.41197e-05
41,4539.09,0.56486,5.195,1.1081,0.00161,0.0004,0.00085,0.0006,2.22514,6.25349,1.35403,1.3892e-05,1.3892e-05,1.3892e-05
42,4643.31,0.4266,5.12034,1.11052,0.00161,0.0004,0.00085,0.0006,2.28384,6.28542,1.37304,1.36643e-05,1.36643e-05,1.36643e-05
43,4761.13,0.6176,5.17444,1.09281,0.00161,0.0004,0.00085,0.0006,2.23379,6.26296,1.35892,1.34366e-05,1.34366e-05,1.34366e-05
44,4868.76,0.46345,5.16199,1.1136,0.00161,0.0004,0.00085,0.0006,2.28914,6.30276,1.37583,1.32089e-05,1.32089e-05,1.32089e-05
45,4978.93,0.53887,5.11832,1.11085,0.00161,0.0004,0.00085,0.0006,2.25915,6.28352,1.37235,1.29812e-05,1.29812e-05,1.29812e-05
46,5080.77,0.43856,5.12099,1.12275,0.00161,0.0004,0.00085,0.0006,2.32225,6.31886,1.40592,1.27535e-05,1.27535e-05,1.27535e-05
47,5182.38,0.44982,5.07842,1.1317,0.00161,0.0004,0.00085,0.0006,2.35413,6.32934,1.42789,1.25258e-05,1.25258e-05,1.25258e-05
48,5284.43,0.44891,5.11494,1.10361,0.00161,0.0004,0.00085,0.0006,2.32995,6.32457,1.41695,1.22981e-05,1.22981e-05,1.22981e-05
49,5389.27,0.50915,5.11123,1.09489,0.00161,0.0004,0.00085,0.0006,2.27386,6.30037,1.40053,1.20704e-05,1.20704e-05,1.20704e-05
50,5490.52,0.41479,5.10319,1.08437,0.00161,0.0004,0.00085,0.0006,2.27492,6.29969,1.41161,1.18427e-05,1.18427e-05,1.18427e-05
51,5595.09,0.51166,5.12674,1.08956,0.00161,0.0004,0.00085,0.0006,2.2279,6.28607,1.39082,1.1615e-05,1.1615e-05,1.1615e-05
52,5699.12,0.47138,5.10122,1.10912,0.00161,0.0004,0.00085,0.0006,2.24259,6.29886,1.39562,1.13873e-05,1.13873e-05,1.13873e-05
53,5801.04,0.45236,5.08761,1.08858,0.00161,0.0004,0.00085,0.0006,2.22942,6.28664,1.38651,1.11596e-05,1.11596e-05,1.11596e-05
54,5906.07,0.57578,5.15325,1.10227,0.0025,0.0008,0.00134,0.00094,2.17131,6.25093,1.3514,1.09319e-05,1.09319e-05,1.09319e-05
55,6011.14,0.52917,5.11062,1.11181,0.00281,0.0008,0.00154,0.00108,2.17424,6.25505,1.34724,1.07042e-05,1.07042e-05,1.07042e-05
56,6112.81,0.47463,5.15975,1.1296,0.00187,0.0004,0.00097,0.00068,2.27405,6.31068,1.37904,1.04765e-05,1.04765e-05,1.04765e-05
57,6215.03,0.44937,5.06989,1.07948,0.00187,0.0004,0.00097,0.00068,2.29533,6.3258,1.38928,1.02488e-05,1.02488e-05,1.02488e-05
58,6318.18,0.47571,5.05651,1.1133,0.00187,0.0004,0.00097,0.00068,2.29934,6.33179,1.40068,1.00211e-05,1.00211e-05,1.00211e-05
59,6419.98,0.48442,5.09328,1.11206,0.00187,0.0004,0.00097,0.00068,2.28191,6.3221,1.40319,9.7934e-06,9.7934e-06,9.7934e-06
60,6524.12,0.47412,5.0507,1.09935,0.00187,0.0004,0.00097,0.00068,2.26124,6.32241,1.40226,9.5657e-06,9.5657e-06,9.5657e-06
61,6625.23,0.43536,5.08808,1.1017,0.00187,0.0004,0.00097,0.00068,2.27978,6.3342,1.41534,9.338e-06,9.338e-06,9.338e-06
62,6728.96,0.57891,5.07904,1.08716,0.00187,0.0004,0.00097,0.00068,2.27525,6.32946,1.40486,9.1103e-06,9.1103e-06,9.1103e-06
63,6839.56,0.58464,5.10583,1.08147,0.00281,0.0008,0.00158,0.0011,2.12138,6.26759,1.32481,8.8826e-06,8.8826e-06,8.8826e-06
