epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.837,1.64906,6.60642,1.37182,0.01359,0.28045,0.05273,0.05034,1.09689,5.70866,1.06098,1.61e-06,1.61e-06,1.61e-06
2,240.534,1.69724,6.56241,1.39625,0.01448,0.33003,0.04823,0.04559,1.14871,5.75007,1.08289,2.7669e-06,2.7669e-06,2.7669e-06
3,357.317,1.62266,6.56008,1.3818,0.00894,0.34136,0.03826,0.03662,1.18964,5.77568,1.10267,3.19516e-06,3.19516e-06,3.19516e-06
4,472.53,1.63018,6.55202,1.35434,0.0086,0.35694,0.03759,0.03547,1.25495,5.809,1.12792,2.89478e-06,2.89478e-06,2.89478e-06
5,626.702,1.61947,6.54706,1.35489,0.00494,0.36261,0.03449,0.03215,1.30645,5.84699,1.14811,1.86576e-06,1.86576e-06,1.86576e-06
